Tag_Number,Plug_ID,Origin,Species,Date_Acquired,Date_Fragged,Primary contact,Notes
205,205,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
20,20,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
220,220,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
206,206,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
205,205,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
201,201,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
206,206,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
4,4,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
3,3,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
209,209,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
220,220,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
203,203,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
2,2,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
210,210,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
212,212,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
19,19,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
4,4,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
12,12,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
20,20,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
202,202,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
219,219,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
16,16,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
12,12,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
16,16,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
211,211B,HIMB,Montipora_capitata,20220615,20220629,"LZ, JA",
211,211A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
211,211*D,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
211,211*C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
211,211*B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
211,211*A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
221,221C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
221,221B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
221,221A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
209,209A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
3,3A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
3,3B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
3,3C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
3,3D,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
3,3E,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
2,2E,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
2,2A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
2,2B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
2,2C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
2,2D,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
210,210A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
15,15B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
15,15A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
15,15C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
208,208E,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
208,208D,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
208,208C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
208,208B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
208,208A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
203,203C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
219,219C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
219,219B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
219,219A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
207,207C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
207,207D,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
207,207B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
207,207A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
210,210D,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
210,210C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
210,210B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
1,1*C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
1,1*B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
1,1*A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
202,202A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
202,202B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
202,202D,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
202,202C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
1,1A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
1,1B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
1,1C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
212,212A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
204,204D,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
204,204C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
204,204A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
204,204B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
15,15*A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
15,15*B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
15,15*C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
211,211C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
203,203A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
203,203B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
203,203F,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
203,203D,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
208,208*B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
208,208*E,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
208,208*F,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
208,208*C,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
208,208*A,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
208,208*D,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
203,203B,HIMB,Montipora_capitata,20220615,20220725,"LZ, PH",
101,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
113,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
119,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
120,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
112,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
124,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
127,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
104,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
114,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
103,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
111,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
118,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
123,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
128,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
106,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
105,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
125,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
209,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
107,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
122,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
120,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
126,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
130,NA,OSA,"unknown, pink and flat",20220618,20220721,"LZ, PH",
60,NA,OSA,P.acuta,,,"LZ, PH",
55,NA,OSA,P.acuta,,,"LZ, PH",
50,NA,OSA,P.acuta,,,"LZ, PH",
49,NA,OSA,P.acuta,,,"LZ, PH",
54,NA,OSA,P.acuta,,,"LZ, PH",
59,NA,OSA,P.acuta,,,"LZ, PH",
58,NA,OSA,P.acuta,,,"LZ, PH",
53,NA,OSA,P.acuta,,,"LZ, PH",
48,NA,OSA,P.acuta,,,"LZ, PH",
42,NA,OSA,P.acuta,,,"LZ, PH",
47,NA,OSA,P.acuta,,,"LZ, PH",
52,NA,OSA,P.acuta,,,"LZ, PH",
57,NA,OSA,P.acuta,,,"LZ, PH",
56,NA,OSA,P.acuta,,,"LZ, PH",
51,NA,OSA,P.acuta,,,"LZ, PH",
46,NA,OSA,P.acuta,,,"LZ, PH",
41,NA,OSA,P.acuta,,,"LZ, PH",
20,NA,OSA,P.acuta,,,"LZ, PH",
18,NA,OSA,P.acuta,,,"LZ, PH",
17,NA,OSA,P.acuta,,,"LZ, PH",
45,NA,OSA,P.acuta,,,"LZ, PH",
13,NA,OSA,P.acuta,,,"LZ, PH",
14,NA,OSA,P.acuta,,,"LZ, PH",
5,NA,OSA,P.acuta,,,"LZ, PH",
15,NA,OSA,P.acuta,,,"LZ, PH",
8,NA,OSA,P.acuta,,,"LZ, PH",
7,NA,OSA,P.acuta,,,"LZ, PH",
6,NA,OSA,P.acuta,,,"LZ, PH",
1,NA,OSA,P.acuta,,,"LZ, PH",
2,NA,OSA,P.acuta,,,"LZ, PH",
3,NA,OSA,P.acuta,,,"LZ, PH",
4,NA,OSA,P.acuta,,,"LZ, PH",
24,NA,OSA,P.acuta,,,"LZ, PH",
25,NA,OSA,P.acuta,,,"LZ, PH",
23,NA,OSA,P.acuta,,,"LZ, PH",
28,NA,OSA,P.acuta,,,"LZ, PH",
32,NA,OSA,P.acuta,,,"LZ, PH",
27,NA,OSA,P.acuta,,,"LZ, PH",
22,NA,OSA,P.acuta,,,"LZ, PH",
21,NA,OSA,P.acuta,,,"LZ, PH",
26,NA,OSA,P.acuta,,,"LZ, PH",
31,NA,OSA,P.acuta,,,"LZ, PH",
