Source,Species,Date_Received,Date_Fragmented,Size,Tag_ID,Initials,Date_Removed,Reason,Initials,Notes
HIMB,Montipora_capitata,20231002,NA,"Large colony, not on plug",F,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,"Large colony, not on plug",G,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,"Large colony, not on plug",E,ZD,,,,
HIMB,Porites_compressa,20231002,NA,"Large colony, not on plug",D,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,F13,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,F14,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,H12,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,E13,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,E12,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,10,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,B14,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,A11,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,G13,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,F11,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,11,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,D11,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,F12,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,4,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,Test 4,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,G11,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,E15,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,E14,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,Test 2,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,C,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,B12,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,7,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,B13,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,E11,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,B11,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,3,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,A13,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,A14,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,A,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,E16,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,Test 1,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,Test 3,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,G12,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,E11,ZD,,,,
HIMB,Porites_compressa,20231002,NA,Plug,12,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,H11,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,C,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,G,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,E,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,F13,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,A20,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B18,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,A15,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,F11,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B13,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B19,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,F12,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B17,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,A10,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B20,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,D12,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B11,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B22,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B15,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B14,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B21,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,H13,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,F15,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,A19,ZD,,,,
HIMB,Pocillopora_acuta,20231002,NA,Plug,X1,ZD,,,,
HIMB,Pocillopora_acuta,20231002,NA,Plug,X2,ZD,,,,
HIMB,Pocillopora_acuta,20231002,NA,Plug,X3,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,6,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,8,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B12,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,1,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,B16,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,F14,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,5,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,C,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,H15,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,D11,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,D13,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,H14,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,A18,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,A16,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,F15,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,A12,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,G12,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,A21,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,A13,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,A17,ZD,,,,
HIMB,Montipora_capitata,20231002,NA,Plug,A14,ZD,,,,
OSA,Pocillopora_damicornis,20230410,20230510,Plug,1,LZ,,,,to be rechecked by Zoe; corals from this shipment appear clubbed with thick branches as compared to the others
OSA,Pocillopora_damicornis,20230410,20230510,Plug,2,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,3,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,4,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,5,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,6,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,7,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,8,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,9,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,10,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,11,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,12,LZ,,,,to be rechecked by Zoe
