Date,Time,Observer.Initials,Tank_ID,Temperature_C,pH_mv,Salinity_psu,Orion_Temp,tris.date,Probe.Set,notes
20230101,,,BT 1/2,26.24,-59.4,34.37,NA,20221019,Probe1,
20230102,,,BT 1/2,26.32,-61.3,34.44,NA,20221019,Probe1,
20230105,,,header_tank,26.23,-51.5,34.48,NA,20221019,Probe1,
20230105,,,BT 1/2,26.27,-52.3,34.45,NA,20221019,Probe1,
20230105,,,BT 3/4,26.26,-52.6,34.41,NA,20221019,Probe1,
20230106,,,header_tank,26.26,-51.9,34.58,NA,20221019,Probe1,
20230106,,,BT 1/2,26.34,-52.7,34.45,NA,20221019,Probe1,
20230106,,,BT 3/4,26.34,-53.1,34.42,NA,20221019,Probe1,
20230109,,,header_tank,26.4,-52.8,34.65,NA,20221019,Probe1,
20230109,,,BT 1/2,26.42,-53.1,34.57,NA,20221019,Probe1,
20230109,,,BT 3/4,26.42,-53.3,34.56,NA,20221019,Probe1,
20230110,,,header_tank,26.35,-54.1,34.61,NA,20221019,Probe1,
20230110,,,BT 1/2,26.38,-53.9,34.64,NA,20221019,Probe1,
20230110,,,BT 3/4,26.38,-54,34.63,NA,20221019,Probe1,
20230111,,,header_tank,26.19,-53.3,34.65,NA,20221019,Probe1,
20230111,,,BT 1/2,26.26,-53.6,34.64,NA,20221019,Probe1,
20230111,,,BT 3/4,26.26,-53.7,34.62,NA,20221019,Probe1,
20230112,,,header_tank,26.24,-54,34.7,NA,20221019,Probe1,
20230112,,,BT 1/2,26.29,-54.2,34.71,NA,20221019,Probe1,
20230112,,,BT 3/4,26.3,-54.4,34.7,NA,20221019,Probe1,
20230113,,,header_tank,26.34,-54,34.18,NA,20221019,Probe1,
20230113,,,BT 1/2,26.34,-54,34.17,NA,20221019,Probe1,
20230113,,,BT 3/4,26.35,-54.1,34.13,NA,20221019,Probe1,
20230117,,,header_tank,26.1,-50.6,33.51,NA,20221019,Probe1,
20230117,,,BT 1/2,26.13,-50.8,33.42,NA,20221019,Probe1,
20230117,,,BT 3/4,26.13,-50.8,33.4,NA,20221019,Probe1,
20230119,,,header_tank,26.14,-54.1,33.5,NA,20221019,Probe1,
20230119,,,BT 1/2,26.13,-54.5,33.66,NA,20221019,Probe1,
20230119,,,BT 3/4,26.18,-54.7,33.45,NA,20221019,Probe1,
20230120,,,header_tank,26.47,-50.3,34.07,NA,20221019,Probe1,
20230120,,,BT 1/2,26.44,-50.5,33.74,NA,20221019,Probe1,
20230120,,,BT 3/4,26.45,-50.7,33.8,NA,20221019,Probe1,
20230123,,,header_tank,26.35,-51.6,33.77,NA,20221019,Probe1,
20230123,,,BT 1/2,26.44,-51.4,33.64,NA,20221019,Probe1,
20230123,,,BT 3/4,26.44,-51.8,33.72,NA,20221019,Probe1,
20230124,,,header_tank,26.3,-56.8,33.89,NA,20221019,Probe1,
20230124,,,BT 1/2,26.35,-56.3,33.79,NA,20221019,Probe1,
20230124,,,BT 3/4,26.35,-56.5,33.77,NA,20221019,Probe1,
20230125,,,header_tank,26.22,-50.8,33.96,NA,20221019,Probe1,
20230125,,,BT 1/2,26.22,-50.8,34.98,NA,20221019,Probe1,
20230125,,,BT 3/4,26.2,-51.2,34.98,NA,20221019,Probe1,
20230130,,,header_tank,26.28,-50.8,34.19,NA,20221019,Probe1,
20230130,,,BT 1/2,26.28,-51,34.25,NA,20221019,Probe1,
20230130,,,BT 3/4,26.7,-51.2,34.6,NA,20221019,Probe1,
20230131,,,header_tank,26.33,-52.4,33.89,NA,20221019,Probe1,
20230131,,,BT 1/2,26.37,-52.6,33.82,NA,20221019,Probe1,
20230131,,,BT 3/4,26.37,-52.7,33.8,NA,20221019,Probe1,
20230201,,,header_tank,26.17,-50.7,33.73,NA,20221019,Probe1,
20230201,,,BT 1/2,26.2,-51,33.86,NA,20221019,Probe1,
20230201,,,BT 3/4,26.19,-50.9,33.82,NA,20221019,Probe1,
20230202,,,header_tank,26.09,-52.8,33.78,NA,20221019,Probe1,
20230202,,,BT 1/2,26.15,-53,33.76,NA,20221019,Probe1,
20230202,,,BT 3/4,26.15,-52.8,34.7,NA,20221019,Probe1,
20230206,,,header_tank,26.37,-55.3,33.87,NA,20221019,Probe1,
20230206,,,BT 1/2,26.4,-55.2,33.93,NA,20221019,Probe1,
20230206,,,BT 3/4,26.4,-55.4,33.9,NA,20221019,Probe1,
20230207,,,header_tank,26.35,NA,33.91,NA,20221019,Probe1,
20230207,,,BT 1/2,26.41,NA,33.92,NA,20221019,Probe1,
20230207,,,BT 3/4,26.4,NA,33.91,NA,20221019,Probe1,
20230208,,,header_tank,26.35,NA,33.9,NA,20221019,Probe1,
20230208,,,BT 1/2,26.32,NA,33.91,NA,20221019,Probe1,
20230208,,,BT 3/4,26.32,NA,33.92,NA,20221019,Probe1,
20230209,,,header_tank,26.27,NA,34.34,NA,20221019,Probe1,
20230209,,,BT 1/2,26.32,NA,34,NA,20221019,Probe1,
20230209,,,BT 3/4,26.32,NA,33.98,NA,20221019,Probe1,
20230210,,,header_tank,26.5,NA,33.99,NA,20221019,Probe1,
20230210,,,BT 1/2,26.5,NA,33.89,NA,20221019,Probe1,
20230210,,,BT 3/4,26.5,NA,33.9,NA,20221019,Probe1,
20230213,,,header_tank,26.4,NA,34.16,NA,20221019,Probe1,
20230213,,,BT 1/2,26.5,NA,33.91,NA,20221019,Probe1,
20230213,,,BT 3/4,26.5,NA,33.93,NA,20221019,Probe1,
20230214,,,header_tank,26.62,NA,33.92,NA,20221019,Probe1,
20230214,,,BT 1/2,26.63,NA,33.88,NA,20221019,Probe1,
20230214,,,BT 3/4,26.62,NA,33.87,NA,20221019,Probe1,
20230215,,,header_tank,26.4,NA,34.18,NA,20221019,Probe1,
20230215,,,BT 1/2,26.44,NA,34.02,NA,20221019,Probe1,
20230215,,,BT 3/4,26.45,NA,34.41,NA,20221019,Probe1,
20230216,,,header_tank,26.48,NA,34.21,NA,20221019,Probe1,
20230216,,,BT 1/2,26.48,NA,34.03,NA,20221019,Probe1,
20230216,,,BT 3/4,26.48,NA,34.03,NA,20221019,Probe1,
20230217,,,header_tank,26.35,NA,33.88,NA,20221019,Probe1,
20230217,,,BT 1/2,26.36,NA,33.8,NA,20221019,Probe1,
20230217,,,BT 3/4,26.35,NA,33.8,NA,20221019,Probe1,
20230221,,,header_tank,26.23,NA,33.87,NA,20221019,Probe1,
20230221,,,BT 1/2,26.27,NA,33.84,NA,20221019,Probe1,
20230221,,,BT 3/4,26.28,NA,33.81,NA,20221019,Probe1,
20230222,,,header_tank,26.2,NA,34.43,NA,20221019,Probe1,
20230222,,,BT 1/2,26.21,NA,34.22,NA,20221019,Probe1,
20230222,,,BT 3/4,26.24,NA,33.85,NA,20221019,Probe1,
20230223,,,header_tank,26.25,NA,34.41,NA,20221019,Probe1,
20230223,,,BT 1/2,26.31,NA,34.43,NA,20221019,Probe1,
20230223,,,BT 3/4,26.32,NA,34.16,NA,20221019,Probe1,
20230224,,,header_tank,26.25,NA,34.01,NA,20221019,Probe1,
20230224,,,BT 1/2,26.29,NA,33.88,NA,20221019,Probe1,
