Date,SampleID,TA,Mass,Salinity
20220713,JUNK2,1952.943629,59.87,35
20220713,header_tank,1425.116936,60.103,33.15
20220713,header_tank,1428.342048,60.421,33.15
20220713,BT 1/2,1426.06916,60.073,33
20220713,BT 1/2,1421.689397,60.012,33
20220713,BT 3/4,1421.782944,59.622,33
20220713,QT1,2264.663738,60.252,34.23
20220713,QT2,2267.398166,59.973,34.23
20220720,JUNK1,1901.829645,59.842,35
20220720,CRM,2208.664215,60.06,33.623
20220720,JUNK2,1489.645051,59.733,35
20220720,header_tank,1470.961411,59.534,33.2
20220720,header_tank,1471.408816,59.747,33.2
20220720,BT 1/2,1471.838889,59.855,33.45
20220720,BT 1/2,1468.999236,59.656,33.45
20220720,BT 3/4,1468.144383,59.823,33.45
20220720,QT1,2178.768898,59.941,34.1
20220720,QT2,2180.581315,60.324,34.1
20220720,JUNK3,2201.639895,59.842,35
20220720,BT 1/2-REDO,1472.152675,59.974,33.45
20220707,JUNK2,1813.489136,59.996,35
20220707,BT 1/2,1488.62586,60.485,36.05
20220707,BT 1/2,1489.079417,60.039,36.05
20220707,BT 3/4,1490.903028,60.068,36.05
20220707,header_tank,1488.617372,59.816,35.79
20220707,header_tank,1489.902465,59.702,35.79
20220707,QT1,2249.492945,60.062,36.52
20220707,QT2,2250.667045,60.438,36.52
20220630,JUNK1,2111.922705,60.114,35
20220630,CRM1,2216.302672,60.321,33.623
20220630,JUNK1,2101.347326,60.378,35
20220630,header_tank,1554.43499,60.318,36.47
20220630,header_tank,1554.366909,59.675,36.47
20220630,BT 1/2,1551.977494,60.495,36.34
20220630,BT 1/2,1549.590154,60.428,36.34
20220630,BT 3/4,1547.229791,59.681,36.34
20220630,QT1,2247.23651,60.043,36.31
20220630,QT2,2246.822215,59.616,36.31
20220623,JUNK1,2103.299596,60.006,35
20220623,CRM1,2214.46222,60.414,33.623
20220623,JUNK,-1213.703476,60.006,35
20220623,header_tank,1542.559995,60.02,36.41
20220623,header_tank,1544.452492,59.984,36.41
20220623,BT 1/2,2356.136891,60.318,36.33
20220623,BT 1/2,2373.364109,60.061,36.33
20220623,BT 3/4,1568.157661,59.635,36.33
20220623,QT1,1542.070706,59.985,38.21
20220623,QT2,1530.994497,60.259,38.21
20220618,JUNK1,1973.999457,59.861,35
20220618,header_tank,1568.966654,59.957,35.81
20220618,header_tank,1569.736567,60.301,35.81
20220618,BT 1/2,1563.287041,59.946,35.6
20220618,BT 1/2,1565.783863,60.283,35.6
20220618,BT 3/4,1561.859453,60.308,35.6
20220618,QT1,2353.589158,60.408,37.37
20220618,QT2,2367.507847,59.513,37.37
20220608,JUNK1,2287.930508,60.399,35
20220608,CRM1,2228.851039,59.726,33.623
20220608,JUNK1,2002.773527,59.812,35
20220608,header_tank,1736.271195,60.086,36.92
20220608,header_tank,1735.465722,60.32,36.92
20220608,BT 1/2,1738.990635,59.802,36.93
20220608,BT 1/2,1735.768007,59.786,36.93
20220608,BT 3/4,1739.756772,60.267,36.93
20220608,QT1,2485.318263,59.888,40.43
20220608,QT2,2487.984548,59.786,40.43
20220802,JUNK1,2303.079614,59.955,35
20220802,CRM1,2220.308664,60.012,33.623
20220802,JUNK2,2299.56885,59.515,35
20220802,header_tank,2699.388485,59.555,34.01
20220802,header_tank,2696.524601,59.92,34.01
20220802,BT 1/2,2693.41028,60.466,34.05
20220802,BT 1/2,2693.191393,59.758,34.05
20220802,BT 3/4,2692.152519,59.867,34.05
20220802,QT1,2220.379186,59.662,33.23
20220802,QT2,2211.951148,60.087,33.23
20220825,JUNK2,2146.552169,59.731,35
20220825,header_tank,2921.140666,60.062,33.65
20220825,header_tank,2918.188933,60.061,33.65
20220825,BT 1/2,2925.022174,60.479,33.63
20220825,BT 1/2,2906.188682,59.678,33.63
20220825,BT 3/4,2915.875496,59.948,33.63
20220825,QT1,2229.539216,60.23,34.23
20220825,QT2,2276.273806,59.792,34.23
20220831,JUNK1,2569.466565,59.947,35
20220831,CRM1,2210.547276,60.246,33.623
20220831,JUNK2,2600.163241,59.731,35
20220831,header_tank,2868.127648,59.634,34.1
20220831,header_tank,2864.090132,59.933,34.1
20220831,BT 1/2,2867.455271,60.097,34.07
20220831,BT 1/2,2887.789567,60.443,34.07
20220831,BT 3/4,2864.935113,60.227,34.07
20220831,QT1,2155.492098,59.758,33.38
20220831,QT2,2146.653535,60.127,33.28
20220908,JUNK1,2160.125787,59.528,35
20220908,CRM1,2263.120809,59.588,33.623
20220908,JUNK1,2160.125787,59.528,35
20220908,CRM1,2263.120809,59.588,33.623
20230209,JUNK1,1942.93501,59.847,35
20230209,CRM1,1950.58112,59.567,33.519
20230209,header_tank,1946.122989,59.75,34.13
20230209,header_tank,1937.53307,59.967,34.13
20230209,BT 1/2,1925.115026,60.021,33.67
20230209,BT 1/2,1920.518809,60.428,33.67
20230221,JUNK1,1897.751498,59.831,35
20230221,CRM1,2191.110528,59.994,33.519
20230221,header_tank,2052.355143,59.733,34.02
20230221,header_tank,2100.510717,60.34,34.02
20230221,BT 1/2,2096.456406,59.863,33.8
20230221,BT 1/2,2104.72594,59.55,33.8
20230308,JUNK,1895.766332,59.823,35
20230308,CRM,1677.101014,60.405,33.519
20230412,JUNK2,1331.962979,59.924,35
20230412,BT 1/2,1323.167946,59.855,34.7
20230412,BT 1/2,1327.211048,59.7,34.7
20230412,header_tank,3253.082113,60.373,37.67
20230412,header_tank,3257.100875,59.86,37.67
20230623,JUNK,2108.055475,59.777,35
20230623,CRM1,2223.052775,59.624,33.519
20230713,JUNK,1536.140696,60.094,35
20230713,CRM1,2217.11639,59.721,33.519
20230713,JUNK1,1444.16739,60.32,35
20230713,JUNK2,1432.573579,59.542,35
20230713,header_tank,1437.805993,59.649,35.96
20230713,header_tank,1436.808179,59.86,35.96
20230713,header_tank3,1444.798817,60.279,35.96
20230713,BT 1/2,1443.88879,60.326,35.89
20230713,BT 1/2,1441.048653,60.436,35.89
20230713,BT 3/4,1439.849775,60.333,35.89
20230713,BT 3/4,1441.075538,59.532,35.89
20230816,JUNK1,1441.797946,59.913,35
20230816,header_tank,2141.922374,60.43,36.66
20230816,BT 1/2,2140.483774,59.838,36.41
20231103,JUNK1,2101.659997,59.746,35
20231103,CRM,2229.808446,60.113,33.529
20231103,JUNK1,1469.835144,59.736,35
