Date,Tank_ID,Time,Date.Time,Observer.Initials,Temperature_C,pH_mv,Salinity_psu,Calcium_ppm,TA_dKH,Orion_Temp,light2,light3,light4,tris.date,Probe.Set,notes
20220117,header_tank,,,,NA,NA,NA,,,,NA,NA,NA,20210816,,Pierrick cleaned and constructed new flow
20220117,quarantine_tank,,,,23.88,NA,34.12,,,,91,75,71,20210816,,
20220117,blue_tank1,,,,25.91,NA,36.62,,,,68,54,55,20210816,,
20220117,blue_tank2,,,,25.91,NA,36.57,,,,70,48,51,20210816,,
20220117,blue_tank3,,,,25.95,NA,36.53,,,,52,72,61,20210816,,
20220117,blue_tank4,,,,25.91,NA,36.55,,,,79,56,51,20210816,,
20220118,header_tank,,,,NA,NA,NA,,,,NA,NA,NA,20210816,,
20220118,quarantine_tank,,,,24.14,NA,34.24,,,,100,101,102,20210816,,
20220118,blue_tank1,,,,25.35,NA,33.54,,,,65,66,78,20210816,,
20220118,blue_tank2,,,,25.35,NA,33.21,,,,65,66,78,20210816,,
20220118,blue_tank3,,,,25.38,NA,33.54,,,,52,65,78,20210816,,
20220118,blue_tank4,,,,25.38,NA,33.52,,,,71,66,67,20210816,,
20220119,header_tank,,,,NA,NA,NA,,,,NA,NA,NA,20210816,,light measurements taken with cover on
20220119,quarantine_tank,,,,24.21,NA,34.25,,,,109,121,130,20210816,,
20220119,blue_tank1,,,,25.45,NA,33.66,,,,21,23,17,20210816,,
20220119,blue_tank2,,,,25.45,NA,33.66,,,,19,20,18,20210816,,
20220119,blue_tank3,,,,25.44,NA,33.59,,,,22,24,19,20210816,,
20220119,blue_tank4,,,,25.44,NA,33.59,,,,17,46,20,20210816,,
20220120,header_tank,,,,NA,NA,NA,,,,NA,NA,NA,20210816,,right side of water table 2 has low light
20220120,quarantine_tank,,,,23.82,NA,34.38,,,,67,98,110,20210816,,
20220120,blue_tank1,,,,25.22,NA,34.03,,,,68,60,59,20210816,,
20220120,blue_tank2,,,,25.22,NA,33.44,,,,67,64,68,20210816,,
20220120,blue_tank3,,,,25.22,NA,34,,,,68,70,73,20210816,,
20220120,blue_tank4,,,,25.21,NA,33.97,,,,37,42,46,20210816,,
20220121,header_tank,,,,NA,NA,NA,,,,NA,NA,NA,20210816,,
20220121,quarantine_tank,,,,24.09,NA,34.25,,,,119,110,111,20210816,,
20220121,blue_tank1,,,,25.41,NA,33.5,,,,66,67,60,20210816,,
20220121,blue_tank2,,,,25.42,NA,33.51,,,,66,71,57,20210816,,
20220121,blue_tank3,,,,25.4,NA,33.49,,,,59,62,64,20210816,,
20220121,blue_tank4,,,,25.41,NA,33.44,,,,33,41,44,20210816,,
20220125,header_tank,,,,NA,NA,NA,,,,NA,NA,NA,20210816,,"pH/alk was declining overnight in the blue tank, 10:00am added 20mL of Fritz buffer alk part 1 to heater tank; 10:05 added 10mL of Fritz buffer alk part 1 to quarantine tank, trident ran successfully as scheduled overnight. From these data, alk has declined to <8 prior to addition of the 10mL above or 20mL above; 10:35 running test of alk in quarantine tank, 10:40a, added header to quarantine tank, QT readout at 11:10a: alk 8.67, Ca: 377, Mg 1240"
20220125,quarantine_tank,,,,23.9,NA,34.67,,,,34,31,29,20210816,,
20220125,blue_tank1,,,,25.85,NA,35.1,,,,59,56,60,20210816,,
20220125,blue_tank2,,,,25.85,NA,35.01,,,,59,57,61,20210816,,
20220125,blue_tank3,,,,25.84,NA,35.03,,,,45,48,40,20210816,,
20220125,blue_tank4,,,,25.84,NA,35,,,,44,46,45,20210816,,
20220126,header_tank,,,,NA,NA,NA,,,,NA,NA,NA,20210816,,"five of 13 corals exhibit signs of stress, put on bottom row in case there is too much light"
20220126,quarantine_tank,,,,24.34,NA,34.93,,,,71,59,62,20210816,,
20220126,blue_tank1,,,,25.66,NA,35.19,,,,40,39,42,20210816,,
20220126,blue_tank2,,,,25.67,NA,35.15,,,,36,41,42,20210816,,
20220126,blue_tank3,,,,25.65,NA,35.18,,,,36,42,41,20210816,,
