Dark Adaptation Time (min),Colony_id,Measuring Intensity ,Gain,Saturating Intensity,F0,FM,Fv_Fm,Mean_F0,Mean_Fm,Mean_Y,Measuring_Intensity,Gain,Saturation_Intensity,,,,,
60,pacu_1,1,4,12,0,0,0,0,0,0,1,4,12,,,,,
60,pacu_2,1,4,12,0,0,0,0,0,0,2,4,12,,,,,
60,pacu_3,1,4,12,0,0,0,0,31.75,500,3,4,12,,,,,
60,pacu_4,1,4,12,0,0,0,18.25,119.75,634.5,4,4,12,,,,,
60,pacu_1,2,4,12,0,0,0,26,164.75,853,5,4,12,,,,,
60,pacu_2,2,4,12,0,0,0,30.5,149.5,808.5,6,4,12,,,,,
60,pacu_3,2,4,12,0,0,0,79.75,262.25,692.25,7,4,12,,,,,
60,pacu_4,2,4,12,0,0,0,100.25,313.75,676.5,8,4,12,,,,,
60,pacu_1,3,4,12,0,53,1000,145.5,424.5,656,9,4,12,,,,,
60,pacu_2,3,4,12,0,74,1000,185.5,488.5,615.25,10,4,12,,,,,
60,pacu_3,3,4,12,0,0,0,269.5,721.5,625.25,11,4,12,,,,,
60,pacu_4,3,4,12,0,0,0,300,778.5,615.5,12,4,12,,,,,
60,pacu_1,4,4,12,25,143,825,,,,,,,,,,,
60,pacu_2,4,4,12,25,178,859,,,,,,,,,,,
60,pacu_3,4,4,12,0,0,0,,,,,,,,,,,
60,pacu_4,4,4,12,23,158,854,,,,,,,,,,,
60,pacu_1,5,4,12,19,132,856,,,,,,,,,,,
60,pacu_2,5,4,12,3,165,981,,,,,,,,,,,
60,pacu_3,5,4,12,18,101,821,,,,,,,,,,,
60,pacu_4,5,4,12,64,261,754,,,,,,,,,,,
60,pacu_1,6,4,12,18,137,868,,,,,,,,,,,
60,pacu_2,6,4,12,36,181,801,,,,,,,,,,,
60,pacu_3,6,4,12,13,92,858,,,,,,,,,,,
60,pacu_4,6,4,12,55,188,707,,,,,,,,,mlopt,gainopt,1
60,pacu_1,7,4,12,91,304,700,,,,,,,,,mlopt,gainopt,2
60,pacu_2,7,4,12,96,337,715,,,,,,,,,mlopt,gainopt,3
60,pacu_3,7,4,12,49,155,683,,,,,,,,,mlopt,gainopt,4
60,pacu_4,7,4,12,83,253,671,,,,,,,,,mlopt,gainopt,5
60,pacu_1,8,4,12,123,388,682,,,,,,,,,mlopt,gainopt,6
60,pacu_2,8,4,12,114,379,699,,,,,,,,,mlopt,gainopt,7
60,pacu_3,8,4,12,47,139,661,,,,,,,,,mlopt,gainopt,8
60,pacu_4,8,4,12,117,349,664,,,,,,,,,mlopt,gainopt,9
60,pacu_1,9,4,12,176,496,645,,,,,,,,,mlopt,gainopt,10
60,pacu_2,9,4,12,151,476,682,,,,,,,,,mlopt,gainopt,11
60,pacu_3,9,4,12,114,323,647,,,,,,,,,mlopt,gainopt,12
60,pacu_4,9,4,12,141,403,650,,,,,,,,,,,
60,pacu_1,10,4,12,202,553,634,,,,,,,,,,,
60,pacu_2,10,4,12,249,682,634,,,,,,,,,,,
60,pacu_3,10,4,12,176,427,587,,,,,,,,,,,
60,pacu_4,10,4,12,115,292,606,,,,,,,,,,,
60,pacu_1,11,4,12,294,790,627,,,,,,,,,,,
60,pacu_2,11,4,12,272,744,634,,,,,,,,,,,
60,pacu_3,11,4,12,255,707,639,,,,,,,,,,,
60,pacu_4,11,4,12,257,645,601,,,,,,,,,,,
60,pacu_1,12,4,12,336,832,596,,,,,,,,,,,
60,pacu_2,12,4,12,326,840,611,,,,,,,,,,,
60,pacu_3,12,4,12,305,796,616,,,,,,,,,,,
60,pacu_4,12,4,12,233,646,639,,,,,,,,,,,
,,mlopt,1,12,,,,,,,,,,,,,,
,,mlopt,2,12,,,,,,,,,,,,,,
,,mlopt,3,12,,,,,,,,,,,,,,
,,mlopt,4,12,,,,,,,,,,,,,,
,,mlopt,5,12,,,,,,,,,,,,,,
,,mlopt,6,12,,,,,,,,,,,,,,
,,mlopt,7,12,,,,,,,,,,,,,,
,,mlopt,8,12,,,,,,,,,,,,,,
,,mlopt,9,12,,,,,,,,,,,,,,
,,mlopt,10,12,,,,,,,,,,,,,,
,,mlopt,11,12,,,,,,,,,,,,,,
,,mlopt,12,12,,,,,,,,,,,,,,
