"","Date","Tank_ID","Time","Date.Time","Observer.Initials","Temperature_C","Phosphorus","Nitrite","Ammonia","Probe.Set","notes","P_Dosing_ml","N_Dosing_ml","P_N_Dosing_Time"
"1",2026-04-03,"BT 1/2","9:00",NA,"TJW",23.82,9,125.02,0.15,"Probe1","",NA,NA,""
"2",2026-04-03,"header_tank","9:00",NA,"TJW",23.74,NA,NA,NA,"Probe1","",15,30,"13:45"
"3",2026-04-04,"BT 1/2","14:00",NA,"ZD",24.88,132,125.02,NA,"Probe1","",NA,NA,""
"4",2026-04-06,"BT 1/2","9:10",NA,"ZD",24.74,0,36.19,0.15,"Probe1","",NA,NA,""
"5",2026-04-07,"BT 1/2","10:45",NA,"NP",24.51,3,111.86,0.16,"Probe1","",NA,NA,""
"6",2026-04-08,"BT 1/2","8:30",NA,"PP",24.25,105,26.32,0.16,"Probe1","",NA,NA,""
"7",2026-04-09,"BT 1/2","10:45",NA,"JH",24.18,41,26.32,NA,"Probe1","",NA,NA,""
"8",2026-04-10,"BT 1/2","8:46",NA,"JM",24.56,41,26.32,0.15,"Probe1","Calibrated Tris Cal",NA,NA,""
"9",2026-04-10,"header_tank","8:46",NA,"JM",24.49,NA,NA,NA,"Probe1","",15,30,"13:20"
"10",2026-04-13,"BT 1/2","8:45",NA,"JM",24.77,68,26.32,0.14,"Probe1","Added DI",NA,NA,""
"11",2026-04-14,"BT 1/2","9:04",NA,"PP",25.43,0,29.61,NA,"Probe1","",NA,NA,""
"12",2026-04-15,"BT 1/2","9:45",NA,"JH",25.28,24,23.03,0.15,"Probe1","",NA,NA,""
"13",2026-04-16,"BT 1/2","9:30",NA,"TJW",24.72,5,29.61,NA,"Probe1","",NA,NA,""
"14",2026-04-17,"BT 1/2","8:30",NA,"TJW",25.11,0,23.03,NA,"Probe1","",NA,NA,""
"15",2026-04-17,"header_tank","8:30",NA,"TJW",25.06,NA,NA,NA,"Probe1","",15,30,"10:30"
"16",2026-04-20,"BT 1/2","8:48",NA,"JM",24.94,54,13.16,0.02,"Probe1","",NA,NA,""
