tris.date,mVTris,TTris
20231109,-68.7,25.064
20231109,-67.5,25.496
20231109,-67.4,26.059
20231109,-65.6,26.535
20231109,-64.9,27.023
20231109,-64.2,27.501
20231109,-63.6,28.023
20231109,-63,28.497
20231109,-62.4,29.016
20231113,-67.2,25.005
20231113,-66.7,25.528
20231113,-66.1,26.034
20231113,-65.6,26.515
20231113,-65,26.992
20231113,-64.4,27.448
20231113,-63.7,28
20231113,-63.1,28.482
20231113,-62.5,29.004
20231129,-67.8,24.968
20231129,-67.2,25.502
20231129,-66.6,25.932
20231129,-66,26.496
20231129,-65.5,26.933
20231129,-65,27.446
20231129,-64.1,27.952
20231129,-63.4,28.45
20231129,-62.8,28.948
